,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
338,not Moscow,6 cpu,3 cores,6 nodes,7 memory,4 nets,3 linpack,3 peak,domestic dev
339,not Moscow,1 cpu,3 cores,1 nodes,2 memory,6 nets,4 linpack,4 peak,domestic dev
340,not Moscow,7 cpu,5 cores,7 nodes,6 memory,5 nets,4 linpack,4 peak,domestic dev
341,not Moscow,3 cpu,4 cores,3 nodes,3 memory,7 nets,4 linpack,4 peak,domestic dev
342,Moscow,8 cpu,5 cores,7 nodes,7 memory,4 nets,4 linpack,5 peak,domestic dev
343,not Moscow,5 cpu,4 cores,5 nodes,10 memory,9 nets,4 linpack,4 peak,domestic dev
344,Moscow,8 cpu,5 cores,8 nodes,6 memory,4 nets,5 linpack,5 peak,domestic dev
345,Moscow,3 cpu,4 cores,3 nodes,6 memory,8 nets,5 linpack,5 peak,foreign dev
346,not Moscow,6 cpu,5 cores,6 nodes,3 memory,10 nets,5 linpack,4 peak,domestic dev
347,Moscow,9 cpu,6 cores,9 nodes,8 memory,3 nets,5 linpack,6 peak,joint dev
348,not Moscow,5 cpu,4 cores,4 nodes,3 memory,6 nets,5 linpack,6 peak,domestic dev
349,not Moscow,4 cpu,6 cores,4 nodes,4 memory,8 nets,6 linpack,5 peak,domestic dev
350,not Moscow,9 cpu,6 cores,8 nodes,6 memory,5 nets,6 linpack,6 peak,domestic dev
351,not Moscow,4 cpu,5 cores,3 nodes,4 memory,6 nets,6 linpack,7 peak,foreign dev
352,Moscow,4 cpu,6 cores,4 nodes,5 memory,7 nets,6 linpack,6 peak,domestic dev
353,not Moscow,9 cpu,7 cores,8 nodes,10 memory,2 nets,6 linpack,6 peak,domestic dev
354,not Moscow,8 cpu,8 cores,7 nodes,6 memory,1 nets,7 linpack,7 peak,domestic dev
355,not Moscow,7 cpu,7 cores,7 nodes,8 memory,10 nets,7 linpack,5 peak,domestic dev
356,not Moscow,5 cpu,8 cores,5 nodes,5 memory,3 nets,7 linpack,8 peak,joint dev
357,Moscow,10 cpu,9 cores,9 nodes,9 memory,2 nets,7 linpack,7 peak,domestic dev
358,Moscow,10 cpu,9 cores,10 nodes,9 memory,8 nets,7 linpack,7 peak,domestic dev
359,Moscow,6 cpu,8 cores,10 nodes,3 memory,9 nets,8 linpack,8 peak,joint dev
360,Moscow,4 cpu,6 cores,4 nodes,5 memory,10 nets,8 linpack,7 peak,domestic dev
361,not Moscow,9 cpu,10 cores,9 nodes,5 memory,9 nets,8 linpack,8 peak,foreign dev
362,not Moscow,6 cpu,7 cores,5 nodes,8 memory,8 nets,8 linpack,8 peak,joint dev
363,Moscow,7 cpu,7 cores,7 nodes,8 memory,3 nets,8 linpack,9 peak,foreign dev
364,not Moscow,9 cpu,10 cores,9 nodes,7 memory,9 nets,9 linpack,8 peak,domestic dev
365,not Moscow,7 cpu,9 cores,6 nodes,7 memory,8 nets,9 linpack,9 peak,domestic dev
366,not Moscow,5 cpu,7 cores,5 nodes,8 memory,10 nets,9 linpack,9 peak,domestic dev
367,not Moscow,10 cpu,10 cores,10 nodes,9 memory,3 nets,9 linpack,9 peak,domestic dev
368,not Moscow,10 cpu,10 cores,10 nodes,9 memory,3 nets,9 linpack,10 peak,domestic dev
369,not Moscow,7 cpu,8 cores,6 nodes,4 memory,7 nets,10 linpack,10 peak,domestic dev
370,Moscow,6 cpu,9 cores,6 nodes,7 memory,10 nets,10 linpack,9 peak,joint dev
371,Moscow,8 cpu,8 cores,8 nodes,4 memory,1 nets,10 linpack,10 peak,domestic dev
372,not Moscow,10 cpu,10 cores,10 nodes,9 memory,2 nets,10 linpack,10 peak,domestic dev
373,Moscow,8 cpu,9 cores,8 nodes,4 memory,2 nets,10 linpack,10 peak,domestic dev
374,Moscow,1 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,foreign dev
375,Moscow,1 cpu,1 cores,1 nodes,1 memory,6 nets,1 linpack,1 peak,domestic dev
376,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,foreign dev
377,not Moscow,2 cpu,1 cores,2 nodes,1 memory,7 nets,1 linpack,1 peak,joint dev
378,not Moscow,3 cpu,2 cores,2 nodes,10 memory,5 nets,2 linpack,2 peak,foreign dev
379,not Moscow,3 cpu,2 cores,3 nodes,2 memory,7 nets,2 linpack,2 peak,domestic dev
380,not Moscow,3 cpu,2 cores,3 nodes,2 memory,1 nets,2 linpack,2 peak,joint dev
381,not Moscow,2 cpu,3 cores,2 nodes,2 memory,2 nets,2 linpack,2 peak,domestic dev
382,not Moscow,4 cpu,3 cores,3 nodes,4 memory,7 nets,3 linpack,3 peak,foreign dev
383,Moscow,3 cpu,3 cores,3 nodes,10 memory,6 nets,3 linpack,3 peak,foreign dev
384,not Moscow,5 cpu,3 cores,4 nodes,2 memory,7 nets,3 linpack,3 peak,domestic dev
385,Moscow,4 cpu,4 cores,4 nodes,4 memory,8 nets,3 linpack,3 peak,joint dev
386,not Moscow,7 cpu,5 cores,6 nodes,3 memory,1 nets,4 linpack,4 peak,foreign dev
387,not Moscow,7 cpu,5 cores,6 nodes,5 memory,1 nets,4 linpack,5 peak,domestic dev
388,not Moscow,7 cpu,5 cores,7 nodes,3 memory,6 nets,4 linpack,4 peak,joint dev
389,not Moscow,6 cpu,4 cores,6 nodes,5 memory,8 nets,4 linpack,5 peak,joint dev
390,not Moscow,5 cpu,6 cores,6 nodes,6 memory,6 nets,5 linpack,5 peak,domestic dev
391,Moscow,1 cpu,2 cores,10 nodes,10 memory,2 nets,5 linpack,4 peak,foreign dev
392,not Moscow,5 cpu,4 cores,5 nodes,3 memory,10 nets,5 linpack,4 peak,joint dev
393,not Moscow,2 cpu,5 cores,2 nodes,5 memory,9 nets,5 linpack,5 peak,foreign dev
394,not Moscow,8 cpu,7 cores,8 nodes,7 memory,4 nets,6 linpack,6 peak,domestic dev
395,not Moscow,8 cpu,6 cores,7 nodes,8 memory,5 nets,6 linpack,6 peak,domestic dev
396,not Moscow,2 cpu,4 cores,1 nodes,3 memory,7 nets,6 linpack,6 peak,domestic dev
397,not Moscow,8 cpu,7 cores,8 nodes,7 memory,4 nets,6 linpack,7 peak,domestic dev
398,not Moscow,4 cpu,7 cores,4 nodes,5 memory,9 nets,6 linpack,6 peak,domestic dev
399,Moscow,9 cpu,8 cores,9 nodes,8 memory,4 nets,7 linpack,7 peak,domestic dev
400,not Moscow,8 cpu,9 cores,8 nodes,4 memory,6 nets,7 linpack,7 peak,joint dev
401,Moscow,9 cpu,8 cores,9 nodes,8 memory,3 nets,7 linpack,7 peak,domestic dev
402,not Moscow,7 cpu,6 cores,7 nodes,10 memory,10 nets,7 linpack,6 peak,domestic dev
403,Moscow,4 cpu,7 cores,4 nodes,7 memory,9 nets,7 linpack,8 peak,foreign dev
404,Moscow,7 cpu,6 cores,7 nodes,6 memory,10 nets,8 linpack,7 peak,foreign dev
405,Moscow,10 cpu,9 cores,10 nodes,9 memory,5 nets,8 linpack,9 peak,joint dev
406,not Moscow,6 cpu,6 cores,6 nodes,4 memory,8 nets,8 linpack,9 peak,domestic dev
407,not Moscow,6 cpu,8 cores,5 nodes,6 memory,8 nets,8 linpack,8 peak,domestic dev
408,not Moscow,10 cpu,9 cores,10 nodes,7 memory,3 nets,8 linpack,9 peak,domestic dev
409,not Moscow,10 cpu,9 cores,9 nodes,9 memory,9 nets,9 linpack,8 peak,domestic dev
410,not Moscow,6 cpu,8 cores,5 nodes,6 memory,9 nets,9 linpack,8 peak,domestic dev
411,Moscow,9 cpu,7 cores,8 nodes,9 memory,10 nets,9 linpack,8 peak,domestic dev
412,not Moscow,9 cpu,10 cores,9 nodes,8 memory,4 nets,9 linpack,10 peak,domestic dev
413,not Moscow,5 cpu,8 cores,5 nodes,6 memory,8 nets,9 linpack,10 peak,foreign dev
414,not Moscow,10 cpu,9 cores,10 nodes,10 memory,2 nets,10 linpack,9 peak,domestic dev
415,not Moscow,9 cpu,10 cores,9 nodes,8 memory,3 nets,10 linpack,10 peak,domestic dev
416,not Moscow,8 cpu,10 cores,8 nodes,9 memory,10 nets,10 linpack,9 peak,domestic dev
417,not Moscow,6 cpu,10 cores,7 nodes,7 memory,3 nets,10 linpack,10 peak,joint dev
418,Moscow,10 cpu,10 cores,10 nodes,9 memory,5 nets,10 linpack,10 peak,domestic dev
419,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,foreign dev
420,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
421,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,foreign dev
422,not Moscow,2 cpu,1 cores,2 nodes,2 memory,6 nets,1 linpack,1 peak,joint dev
423,not Moscow,2 cpu,2 cores,4 nodes,1 memory,1 nets,2 linpack,2 peak,joint dev
424,not Moscow,3 cpu,2 cores,2 nodes,4 memory,3 nets,2 linpack,2 peak,foreign dev
425,not Moscow,3 cpu,2 cores,3 nodes,10 memory,8 nets,2 linpack,2 peak,foreign dev
426,not Moscow,4 cpu,3 cores,3 nodes,2 memory,4 nets,2 linpack,2 peak,domestic dev
427,not Moscow,3 cpu,2 cores,3 nodes,2 memory,2 nets,3 linpack,3 peak,joint dev
428,not Moscow,2 cpu,3 cores,2 nodes,3 memory,4 nets,3 linpack,3 peak,domestic dev
429,Moscow,4 cpu,4 cores,3 nodes,10 memory,7 nets,3 linpack,3 peak,foreign dev
430,not Moscow,5 cpu,4 cores,5 nodes,5 memory,8 nets,3 linpack,4 peak,domestic dev
431,not Moscow,5 cpu,3 cores,5 nodes,2 memory,6 nets,4 linpack,3 peak,domestic dev
432,Moscow,4 cpu,5 cores,4 nodes,5 memory,9 nets,4 linpack,4 peak,joint dev
433,not Moscow,7 cpu,6 cores,6 nodes,3 memory,3 nets,4 linpack,5 peak,foreign dev
434,Moscow,7 cpu,6 cores,6 nodes,4 memory,1 nets,4 linpack,6 peak,domestic dev
435,not Moscow,6 cpu,5 cores,7 nodes,6 memory,3 nets,5 linpack,6 peak,domestic dev
436,not Moscow,6 cpu,5 cores,6 nodes,5 memory,8 nets,5 linpack,5 peak,foreign dev
437,not Moscow,8 cpu,6 cores,7 nodes,4 memory,8 nets,5 linpack,5 peak,joint dev
438,not Moscow,8 cpu,7 cores,8 nodes,4 memory,3 nets,5 linpack,5 peak,foreign dev
439,not Moscow,6 cpu,5 cores,6 nodes,6 memory,7 nets,6 linpack,6 peak,joint dev
440,Moscow,1 cpu,3 cores,10 nodes,10 memory,4 nets,6 linpack,4 peak,foreign dev
441,not Moscow,5 cpu,4 cores,5 nodes,3 memory,10 nets,6 linpack,4 peak,joint dev
442,not Moscow,3 cpu,6 cores,2 nodes,6 memory,9 nets,6 linpack,6 peak,foreign dev
443,not Moscow,9 cpu,8 cores,8 nodes,8 memory,5 nets,6 linpack,7 peak,domestic dev
444,Moscow,9 cpu,8 cores,9 nodes,7 memory,4 nets,7 linpack,7 peak,domestic dev
445,Moscow,7 cpu,6 cores,7 nodes,7 memory,10 nets,7 linpack,6 peak,domestic dev
446,not Moscow,8 cpu,7 cores,8 nodes,9 memory,6 nets,7 linpack,7 peak,domestic dev
447,not Moscow,2 cpu,4 cores,1 nodes,3 memory,6 nets,7 linpack,7 peak,domestic dev
448,not Moscow,9 cpu,8 cores,9 nodes,8 memory,5 nets,7 linpack,8 peak,domestic dev
449,Moscow,10 cpu,9 cores,9 nodes,8 memory,2 nets,8 linpack,8 peak,joint dev
450,not Moscow,5 cpu,8 cores,4 nodes,6 memory,9 nets,8 linpack,8 peak,domestic dev
451,not Moscow,10 cpu,9 cores,10 nodes,9 memory,2 nets,8 linpack,9 peak,domestic dev
452,not Moscow,8 cpu,10 cores,8 nodes,5 memory,8 nets,8 linpack,8 peak,joint dev
453,Moscow,9 cpu,9 cores,9 nodes,9 memory,7 nets,8 linpack,9 peak,domestic dev
454,not Moscow,7 cpu,7 cores,7 nodes,10 memory,10 nets,9 linpack,7 peak,domestic dev
455,Moscow,9 cpu,9 cores,9 nodes,9 memory,6 nets,9 linpack,9 peak,domestic dev
456,Moscow,4 cpu,8 cores,4 nodes,7 memory,9 nets,9 linpack,10 peak,foreign dev
457,Moscow,7 cpu,7 cores,7 nodes,7 memory,10 nets,9 linpack,8 peak,foreign dev
458,Moscow,8 cpu,10 cores,8 nodes,10 memory,2 nets,9 linpack,9 peak,foreign dev
459,Moscow,10 cpu,10 cores,10 nodes,8 memory,5 nets,10 linpack,9 peak,domestic dev
460,not Moscow,6 cpu,7 cores,6 nodes,6 memory,7 nets,10 linpack,10 peak,domestic dev
461,not Moscow,6 cpu,9 cores,5 nodes,7 memory,9 nets,10 linpack,10 peak,domestic dev
462,not Moscow,10 cpu,10 cores,10 nodes,8 memory,5 nets,10 linpack,10 peak,domestic dev
463,not Moscow,10 cpu,10 cores,10 nodes,9 memory,10 nets,10 linpack,10 peak,domestic dev
464,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,foreign dev
465,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
466,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,foreign dev
467,not Moscow,2 cpu,1 cores,2 nodes,2 memory,8 nets,1 linpack,1 peak,joint dev
468,not Moscow,2 cpu,2 cores,4 nodes,1 memory,1 nets,2 linpack,2 peak,joint dev
469,not Moscow,3 cpu,2 cores,2 nodes,4 memory,1 nets,2 linpack,2 peak,foreign dev
470,not Moscow,3 cpu,2 cores,3 nodes,10 memory,6 nets,2 linpack,2 peak,foreign dev
471,not Moscow,4 cpu,3 cores,3 nodes,2 memory,6 nets,2 linpack,2 peak,domestic dev
472,not Moscow,3 cpu,2 cores,3 nodes,2 memory,2 nets,3 linpack,3 peak,joint dev
473,not Moscow,2 cpu,3 cores,2 nodes,3 memory,4 nets,3 linpack,3 peak,domestic dev
474,Moscow,4 cpu,4 cores,3 nodes,10 memory,6 nets,3 linpack,3 peak,foreign dev
475,not Moscow,5 cpu,4 cores,5 nodes,5 memory,8 nets,3 linpack,4 peak,domestic dev
476,not Moscow,5 cpu,3 cores,5 nodes,2 memory,5 nets,4 linpack,3 peak,domestic dev
477,Moscow,4 cpu,5 cores,4 nodes,6 memory,9 nets,4 linpack,4 peak,joint dev
478,not Moscow,7 cpu,6 cores,7 nodes,3 memory,3 nets,4 linpack,5 peak,foreign dev
479,not Moscow,8 cpu,7 cores,8 nodes,7 memory,5 nets,4 linpack,5 peak,domestic dev
480,Moscow,7 cpu,6 cores,7 nodes,4 memory,4 nets,5 linpack,6 peak,domestic dev
481,not Moscow,6 cpu,4 cores,6 nodes,5 memory,3 nets,5 linpack,6 peak,domestic dev
482,not Moscow,6 cpu,5 cores,6 nodes,5 memory,8 nets,5 linpack,5 peak,foreign dev
483,not Moscow,8 cpu,7 cores,8 nodes,4 memory,7 nets,5 linpack,6 peak,joint dev
484,not Moscow,8 cpu,7 cores,8 nodes,4 memory,3 nets,6 linpack,6 peak,foreign dev
485,not Moscow,7 cpu,6 cores,7 nodes,6 memory,4 nets,6 linpack,7 peak,joint dev
486,Moscow,1 cpu,3 cores,10 nodes,10 memory,4 nets,6 linpack,5 peak,foreign dev
487,not Moscow,6 cpu,5 cores,5 nodes,3 memory,10 nets,6 linpack,4 peak,joint dev
488,not Moscow,3 cpu,6 cores,2 nodes,6 memory,9 nets,6 linpack,7 peak,foreign dev
489,Moscow,9 cpu,9 cores,9 nodes,7 memory,7 nets,7 linpack,8 peak,domestic dev
