,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
118,ПНИПУ,2010,128.0,512.0,64.0,524.288,2.5,3.17,4.1,235930.6,1,2,6,8,39,1
119,СГАУ,2010,224.0,896.0,112.0,1344.0,10.0,8.54,10.0,216167.6,1,13,10,42,93,10
120,СФУ,2010,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,372848.1,1,42,46,77,87,20
121,ТГУ,2010,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,272576.5,1,41,46,79,146,26
122,ТГУ,2010,564.0,1128.0,282.0,1155.0720000000001,10.0,9.01,12.0,272576.5,1,25,26,76,109,8
123,УГАТУ,2010,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,186522.0,1,20,19,29,35,10
124,ФГУП НИИР,2010,312.0,624.0,106.0,2048.0,2.5,2.7,3.0,730774.2,1,0,0,0,0,0
125,ЦИАМ им. П.И. Баранова,2010,72.0,432.0,36.0,1179.6480000000001,2.5,3.33,4.49,730774.2,1,5,5,7,13,2
126,ЮУрГУ,2010,844.0,3376.0,166.0,1359.872,62.5,34.22,39.94,187673.7,2,3,2,26,71,3
127,ЮФУ,2010,618.0,2472.0,181.0,4920.0,22.5,18.06,23.64,154127.9,2,60,47,94,162,30
128,ВятГУ,2011,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,146451.8,1,0,0,3,17,0
129,ИММ УРО РАН,2011,416.0,1664.0,208.0,3584.0,20.0,14.62,19.5,300068.8,1,0,3,5,92,0
130,ИПМ им. М.В.Келдыша РАН,2011,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,859355.1,1,18,13,35,67,8
131,Курчатовский институт,2011,3440.0,13760.0,432.0,4849.664000000001,40.0,126.28999999999999,157.92000000000002,859355.1,2,193,120,143,206,101
132,МГУ,2011,15144.0,86028.0,6556.0,89656.288,32.5,757.2700000000001,1487.6699999999998,859355.1,4,1195,715,1242,2145,642
133,НГУ,2011,532.0,2752.0,262.0,7299.376,1.0,17.32,29.28,223623.0,1,208,180,306,288,122
134,ННГУ,2011,32.0,576.0,16.0,384.0,10.0,10.01,17.57,233405.3,1,55,56,108,178,29
135,СВФУ,2011,346.0,2622.0,173.0,8503.296,20.0,29.01,45.489999999999995,508674.4,2,6,7,8,10,2
136,СГАУ,2011,224.0,896.0,112.0,1344.0,10.0,8.54,10.0,259480.6,1,17,20,31,74,10
137,СПбГУ,2011,168.0,2256.0,84.0,8257.536,20.0,25.060000000000002,48.75,424643.7,2,361,233,310,600,200
138,СФУ,2011,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,413172.4,1,45,46,117,127,20
139,ТГУ,2011,1280.0,5424.0,640.0,12091.392000000002,10.0,42.53,62.35,317037.4,1,53,41,85,211,37
140,ТюмГУ,2011,164.0,984.0,82.0,2015.232,10.0,9.21,11.53,1198186.0,1,1,2,3,9,0
141,УГАТУ,2011,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,231314.0,1,16,7,49,69,10
142,ЮУрГУ,2011,1804.0,10160.0,166.0,1359.872,62.5,112.71,133.58,222664.2,2,8,5,24,70,1
143,ЮФУ,2011,518.0,2072.0,131.0,4120.0,20.0,14.51,18.84,179470.3,1,62,63,142,167,28
144,ВятГУ,2012,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,157541.4,1,0,0,8,22,0
145,ИВМиМГ СО РАН,2012,656.0,5088.0,328.0,9437.184000000001,20.0,60.13,115.7,269870.4,2,8,2,24,49,4
146,ИДСТУ СО РАН,2012,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,304545.5,1,11,3,4,13,7
147,ИПМ им. М.В.Келдыша РАН,2012,128.0,3456.0,64.0,6144.0,32.0,41.14,107.9,895017.9,1,14,10,49,54,7
148,Курчатовский институт,2012,3600.0,18080.0,512.0,6769.664000000001,41.0,195.89,291.82,895017.9,3,163,110,180,156,101
149,МГУ,2012,15752.0,96524.0,6848.0,98616.288,32.5,985.0600000000001,1814.82,895017.9,4,1500,710,1240,1895,1015
150,МФТИ,2012,224.0,1792.0,112.0,7340.032,10.0,36.28,41.57,336650.6,1,160,108,134,168,92
151,НГУ,2012,548.0,3232.0,270.0,8461.06,20.0,29.23,51.46,269870.4,2,395,171,256,263,307
152,ННГУ,2012,120.0,3040.0,60.0,3932.1600000000003,10.0,51.86,103.31,255722.7,1,67,53,133,196,34
153,СВФУ,2012,346.0,2622.0,173.0,8491.985999999999,20.0,31.33,46.019999999999996,566387.0,2,4,2,10,18,4
154,СПбГУ,2012,48.0,1536.0,24.0,2359.2960000000003,10.0,17.66,40.14,456943.4,1,420,237,336,591,269
155,СФУ,2012,452.0,1808.0,226.0,0.0,2.5,13.06,16.87,416272.7,1,46,35,101,123,27
156,ТГУ,2012,1280.0,5424.0,640.0,12091.392,10.0,47.88,62.35,350116.9,1,79,46,75,166,52
157,УГАТУ,2012,532.0,2128.0,266.0,2179.072,2.5,15.33,19.86,282918.4,1,16,19,36,56,8
158,ЮУрГУ,2012,1804.0,10160.0,166.0,1359.872,62.5,112.71,133.58,241758.0,2,6,10,34,57,2
159,ЮФУ,2012,518.0,2072.0,131.0,4120.0,20.0,14.51,18.84,198129.2,1,74,51,99,170,43
160,ВятГУ,2013,480.0,1920.0,240.0,983.04,20.0,13.96,17.89,170457.6,1,0,2,11,17,0
161,ИВМиМГ СО РАН,2013,656.0,5088.0,328.0,9437.184000000001,20.0,60.13,115.7,300522.5,2,11,5,11,40,6
162,ИДСТУ СО РАН,2013,220.0,3520.0,110.0,7040.0,10.0,25.12,33.7,332700.5,1,2,5,10,17,2
163,ИММ УРО РАН,2013,92.0,6184.0,46.0,4521.984,20.0,109.88,225.85,363261.5,1,3,12,39,51,1
